id,name,full_name,address,legal_address,email,phone,fax,site,director,director_id,director_post,organization_rights_form,priority,upstanding_organization_id,is_published,organization_category_id,sr_organization_category_id,slug,created_at,updated_at
197,"Управление  координации деятельности Комплекса  градостроительной  политики и строительства города Москвы","Управление  координации деятельности Комплекса  градостроительной  политики и строительства города Москвы","125009, г. Москва, Никитский пер., д. 5",,,"(495) 956-64-56",,,"Леонов Евгений Владимирович",NULL,"Начальник управления",,0,NULL,0,33,NULL,upravlenie_koordinatsii_deyatelnosti_kompleksa_gradostroitelnoy_politiki_stroitelstva_goroda_moskvi,"2006-04-06 14:04:49","2012-12-06 12:08:11"
198,Стройтехнологии,"Государственное унитарное предприятие города Москвы ""Стройтехнологии""","124460, г. Москва, г. Зеленоград, пос. Алабушево, пр. 684, д. 4, стр. 1-3",,Serov@cotech.ru,"+7 (495) 723-16-50",,,"Серов Анатолий Владимирович",NULL,"Генеральный директор",NULL,1,279,1,33,NULL,stroytehnologii,"2006-04-07 15:32:13","2013-07-02 11:48:34"
199,Стройинвестэкспертиза,"Государственное унитарное предприятие города Москвы ""Стройинвестэкспертиза""","107076, Москва, ул. Стасовой, д. 4А",,,"+7 (499) 251-01-70","+7 (499) 251-01-70",,,NULL,,"ГК ЗАО",1,279,0,33,NULL,stroyinvestekspertiza,"2006-04-13 18:03:26","2013-07-02 11:45:33"
200,"РСП Темп-Гарант","Государственное унитарное предприятие города Москвы ""Ремонтно-строительное предприятие ""Темп-Гарант""","127238, г. Москва, Ильменский пр-д, вл. 8, корп. 3","125130, г. Москва, ул. Зои и Александра Космодемьянских, д. 35/1",gup-temp-garant@mail.ru,"+7 (495) 487-05-30","+7 (495) 487-67-00",,"Карпушин Александр Сергеевич",NULL,Руководитель,ГУП,0,NULL,1,19,NULL,rsp_temp_garant,"2006-04-18 11:14:41","2013-04-04 11:11:18"
201,МИСК.,"Московская инвестиционно-строительная компания","117630, г. Москва, ул. Обручева, д. 23.",,,"+7 (495) 961-28-40",,http://www.mis-k.ru/,"Хайдаров Фарит Рифович",NULL,,NULL,1,NULL,0,33,NULL,misk,"2006-06-06 15:16:21","2015-02-26 13:48:26"
202,Регионстройинвест,"Государственное унитарное предприятие города Москвы ""Управление развития и реализации региональных строительных программ"" (""Регионстройинвест"")","123242, г. Москва, Садовая-Кудринская ул., д. 11","121351, г. Москва, ул. Партизанская, д. 21",kasrr@yandex.ru,"+7 (495) 727-30-94","+7 (495) 727-30-95",http://www.mos-rsi.ru,"Тараканов Руслан Петрович",NULL,Руководитель,ГУП,0,NULL,1,19,NULL,regionstroyinvest,"2006-06-20 15:20:01","2013-04-04 11:10:53"
203,Зеленоградпроект,"ОАО ""Зеленоградпроект""","124498, г. Москва, Зеленоград, Центральный проспект, корп. 435 А",,mail@zelenogradproekt.ru,"+7 (499) 734-17-89","+7 (499) 734-11-64",http://www.zelenogradproekt.ru/,,NULL,,NULL,1,279,1,33,NULL,zelenogradproekt,"2006-09-01 11:59:00","2014-12-03 18:17:27"
204,"Ассоциация строителей России","Ассоциация строителей России","115093, г. Москва, Партийный пер., д. 1, корп. 58, стр. 3",,info@a-s-r.ru,"+7 (495) 363-21-40",,http://www.a-s-r.ru,"Кошман Николай Павлович",NULL,"Президент Ассоциации",NULL,0,NULL,1,33,NULL,assotsiatsiya_stroiteley_rossii,"2006-09-08 10:05:16","2013-05-29 15:39:35"
205,"Профсоюз строителей Москвы","Территориальная организация профсоюза работников строительства и промышленности строительных материалов","109240 г. Москва, ул. Яузская, д. 6, стр. 1",,psm@stroi.ru,"+7 (495) 698-05-77","+7 (495) 698-07-57",,"Лаптев Валерий Лаврентьевич",NULL,Председатель,NULL,0,NULL,1,33,NULL,profsoyuz_stroiteley_moskvi,"2007-03-01 16:15:14","2014-09-02 14:29:34"
206,"Народные художественные промыслы","ЗАО &quot;Народные художественные промыслы&quot;","125252, г. Москва, ул. Зорге, д. 9а",,,"(499) 9432395","(499) 1958483",,"Слуцкий Олег Львович",NULL,"Генеральный директор",ЗАО,0,NULL,0,33,NULL,narodnie_hudozhestvennie_promisli,"2007-04-05 14:45:50","2012-12-06 12:12:38"
207,"Департамент города Москвы по конкурентной политике (Тендерный комитет)","Департамент города Москвы по конкурентной политике (Тендерный комитет)","105062, Москва, ул. Макаренко, д. 4, стр.1. 107045, Москва, Печатников пер., д.12",,moskonkurs@ka.mos.ru,"+7 (495) 957-99-77","+7 (495) 957-99-95",http://www.tender.mos.ru,"Дёгтев Геннадий Валентинович",NULL,Руководитель,NULL,0,NULL,1,33,NULL,departament_goroda_moskvi_po_konkurentnoy_politike_tenderniy_komitet,"2007-06-07 16:52:54","2013-05-29 14:35:35"
208,МГТС_,"Московская городская телефонная сеть","119991, г. Москва, ул. Б. Ордынка, д. 25, стр. 1","119991, г. Москва, ул. Больщая Ордынка, д. 25, стр.1",,"+7 (495) 636-06-36","+7 (495) 950-06-18",http://www.mgts.ru/,"Иванов Сергей Владимирович",NULL,"Генеральный директор",NULL,0,NULL,1,19,NULL,mgts,"2007-06-08 11:17:22","2013-07-03 15:30:47"
209,МосгорБТИ,"Московское городское бюро технической инвентаризации","125009, г. Москва, Малый Гнездниковский пер., д.9, стр.7",,bti@mos.ru,"+7 (495) 629-02-80","+7 (495) 629-02-80",http://mosgorbti.ru/,"Захаров Владимир Аркадьевич",NULL,"Начальник ГУП МосгорБТИ",ГУП,0,NULL,1,19,NULL,mosgorbti,"2007-06-08 11:35:14","2013-04-04 11:08:58"
210,"Управление международных и межрегиональных связей","Управление международных и межрегиональных связей Комплекса градостроительной политики и строительства города Москвы","125009, г. Москва, Никитский пер., д. 4, стр. 2",,interdep@kpr.mos.ru,697-00-56,956-64-90,,"Гришко Александр Константинович",NULL,"Начальник управления",,0,NULL,0,33,NULL,upravlenie_mezhdunarodnih_mezhregionalnih_svyazey,"2007-07-10 17:28:39","2012-12-06 12:07:55"
211,"АТИ - ОАТИ","Объединение административно-технических инспекций города Москвы","109004, г. Москва, ул. Станиславского, д. 6, стр. 1",,,"+7 (495) 912-16-28",,http://www.oati.ru/,"Семенов Дмитрий Александрович",NULL,Начальник,NULL,0,NULL,1,19,NULL,ati_oati,"2007-09-17 16:07:11","2013-04-04 11:08:46"
212,"Комплекс городского хозяйства Москвы","Комплекс городского хозяйства Москвы",,,,,,,"Бирюков П.П.",NULL,,,0,NULL,1,19,NULL,kompleks_gorodskogo_hozyaystva_moskvi,"2008-02-18 13:44:30","2011-06-02 18:23:04"
213,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","127994, г. Москва, ул. Садовая-Самотечная, д. 1",,info@dtis.ru,"+7 (495) 957-71-15","+7 (495) 957-05-40",http://dt.mos.ru,"Ликсутов Максим Станиславович",NULL,"Заместитель мэра Москвы в правительстве Москвы, руководитель Департамента",NULL,0,NULL,1,33,NULL,departament_transporta_razvitiya_dorozhno_transportnoy_infrastrukturi_goroda_moskvi,"2008-02-18 15:17:43","2013-05-30 16:38:24"
214,"Департамент экономической политики и развития города Москвы","Департамент экономической политики и развития города Москвы","125032, г. Москва, Вознесенский пер., д. 21",,dprm@econ.mos.ru,"+7 (495) 957-01- 54","+7 (495) 629-33-42",http://www.depir.ru,"Решетников Максим Геннадьевич",NULL,"Министр Правительства Москвы, руководитель Департамента",NULL,0,NULL,1,19,NULL,departament_ekonomicheskoy_politiki_razvitiya_goroda_moskvi,"2008-02-18 16:12:32","2013-04-04 11:08:15"
215,"Департамент жилищной политики и жилищного фонда города Москвы","Департамент жилищной политики и жилищного фонда города Москвы","125009, г. Москва, Газетный пер., д. 1/12",,letter@livdep.mos.ru,"+7 (495) 629-31-35","+7 (495) 691-94-33",http://www.housing.mos.ru/,"Федосеев Николай Викторович",NULL,Руководитель,NULL,0,NULL,1,33,NULL,departament_zhilishchnoy_politiki_zhilishchnogo_fonda_goroda_moskvi,"2008-02-19 09:26:28","2013-05-29 17:36:19"
216,"Департамент здравоохранения города Москвы","Департамент здравоохранения города Москвы","127006, г. Москва, Оружейный пер., д. 43",,departamentzd@mail.ru,"+7 (499) 251-83-00",,http://www.mosgorzdrav.ru/,"Голухов Георгий Натанович",NULL,"Министр Правительства Москвы, руководитель Департамента",NULL,0,NULL,1,33,NULL,departament_zdravoohraneniya_goroda_moskvi,"2008-02-19 09:34:37","2013-05-29 14:26:19"
217,"Департамент образования города Москвы","Департамент образования города Москвы","129010, г. Москва, Большая Спасская ул., дом 15, стр. 1",,iac@educom.ru,"(495) 366-70-94",,http://www.educom.ru/,"Калина Исаак Иосифович",NULL,"Руководитель Департамента",NULL,0,NULL,1,33,NULL,departament_obrazovaniya_goroda_moskvi,"2008-02-19 09:40:40","2013-05-29 15:17:40"
218,"Департамент городского имущества города Москвы","Департамент городского имущества города Москвы","115054, Москва, ул. Бахрушина, д. 20",,,"+7  (495) 959-18-88",,http://dgi.mos.ru/,"Сергунина Наталья Алексеевна",NULL,"Руководитель Департамента",NULL,0,NULL,1,33,NULL,departament_imushchestva_goroda_moskvi,"2008-02-19 09:46:33","2013-05-29 13:16:21"
219,Москонтроль,"Контрольный комитет города Москвы","125009, г. Москва, Воздвиженка ул., д. 8/1, стр. 1","125009, г. Москва, Воздвиженка ул., д.8/1, стр.1",,"+7 (495) 645-80-96, +7 (495) 633-66-45","+7 (495) 633-66-27",http://moscontrol.mos.ru/,"Поляков Егор Николаевич",NULL,"Председатель Комитета",NULL,0,NULL,1,19,NULL,moskontrol,"2008-02-19 10:38:51","2013-04-04 11:07:02"
220,"Управление по экономической безопасности города Москвы","Управление по экономической безопасности города Москвы","125032, г. Москва, ул. Н. Арбат, д. 15","125032, г. Москва, ул. Тверская, д. 13",,957-05-66,,,"Корсак Александр Борисович",NULL,,,0,NULL,0,19,NULL,upravlenie_po_ekonomicheskoy_bezopasnosti_goroda_moskvi,"2008-02-19 13:58:07","2012-05-21 10:34:38"
221,"Департамент природопользования и охраны окружающей среды города Москвы","Департамент природопользования и охраны окружающей среды города Москвы","121019, г. Москва, Новый Арбат ул., стр. 11, корп. 1",,,"+7 (495) 644-20-77",,http://www.eco.mos.ru,"Кульбачевский Антон Олегович",NULL,"Руководитель Департамента",NULL,0,NULL,1,33,NULL,departament_prirodopolzovaniya_ohrani_okruzhayushchey_sredi_goroda_moskvi,"2008-02-19 17:06:40","2013-05-30 16:33:49"
222,"Департамент науки, промышленной политики и предпринимательства города Москвы","Департамент науки, промышленной политики и предпринимательства города Москвы","г. Москва, Новый Арбат ул., д. 11",,dnpp@mos.ru,"+7 (495) 957-05-10","+7 (495) 957-05-92",http://dnpp.mos.ru,"Комиссаров Алексей Геннадиевич",NULL,"Руководитель департамента",NULL,0,NULL,1,33,NULL,departament_nauki_promishlennoy_politiki_predprinimatelstva_goroda_moskvi,"2008-02-19 17:12:18","2013-05-29 15:30:45"
223,"Управление информатизации города Москвы","Управление информатизации города Москвы","125032, г. Москва, Вознесенский пер., д. 12","125032, г. Москва, ул. Тверская, д. 13",ui@ui.mos.ru,"+7 (495) 957-76-93","+7 (495) 957-75-42",,"Алешин Михаил Игоревич",NULL,"Начальник управления",NULL,0,NULL,1,19,NULL,upravlenie_informatizatsii_goroda_moskvi,"2008-02-20 14:52:53","2013-04-04 11:05:56"
224,"ЦИТП и градостроительства им. Я.В. Косицкого","Центральный проектный институт типового проектирования и градостроительства им. Я.В. Косицкого","107078, г. Москва, Каланчевский тупик, д. 3/5",,,"+7 (499) 975-58-02, +7 (495) 262-76-84",,http://www.citp.ru,"Шарапов Александр Глебович",NULL,"Генеральный директор",ЗАО,0,NULL,1,19,NULL,tsitp_gradostroitelstva_im_ya_kositskogo,"2008-03-11 13:23:43","2013-04-04 11:05:36"
225,МКК-Саянмрамор,"ОАО ""МКК-Саянмрамор""","662793 г. Саяногорск, республика Хакасия, ул. Индустриальная, 17",,,"+7 (39042) 2-28-33, 2-16-11",,http://www.mramor-sayan.ru,"Малов Иван Александрович",NULL,,NULL,0,279,1,33,NULL,mkk_sayanmramor,"2008-04-15 14:18:44","2013-07-02 12:52:31"
226,МОСАЛАРКО,"ОАО ""МОСАЛАРКО""","109147, г. Москва, Марксистская ул., д. 16",,alarcorus@col.ru,"+7 (495) 956-13-15","+7 (495) 956-15-22",,"Реджеп Кёсе",NULL,,NULL,0,279,1,33,NULL,mosalarko,"2008-04-15 14:48:49","2013-07-02 13:07:40"
227,"Фонд ветеранов - строителей Москвы","Негосударственный некоммерческий благотворительный фонд &quot;Фонд ветеранов - строителей Москвы&quot;","119019, г. Москва, ул. Новый Арбат, д. 11, стр. 1",,,697-19-92,697-19-92,,"Родионов Рафаил Павлович",NULL,"Генеральный директор",,0,NULL,0,33,NULL,fond_veteranov_stroiteley_moskvi,"2008-09-11 11:11:20","2012-12-06 12:03:35"
228,"Благотворительный фонд строительного комплекса","Благотворительный фонд строительного комплекса","125375, г. Москва, ул. Тверская, д. 7",,,772-99-97,772-99-96,,"Птичников Игорь Маркович",NULL,"Генеральный директор",,0,NULL,0,33,NULL,blagotvoritelniy_fond_stroitelnogo_kompleksa,"2008-09-11 11:59:05","2012-12-06 12:24:12"
229,"Центр госсанэпиднадзора в г. Москве","Государственная санитарно-эпидемиологическая служба Российской Федерации по г. Москве","129626, г. Москва, Графский пер, д. 4/9",,,"+7 (495) 687-36-08, +7 (495) 616-65-69","+7 (495) 616-36-39",http://www.mossanepid.ru,"Филатов Николай Николаевич",NULL,,NULL,0,NULL,1,19,NULL,tsentr_gossanepidnadzora_moskve,"2008-10-29 16:19:07","2013-04-04 11:04:53"
230,"Комплекс градостроительной политики и строительства города Москвы","Комплекс градостроительной политики и строительства города Москвы","125009, г. Москва, Никитский пер., д. 5",,,"(495) 956-64-63","(495) 956-64-63",,"Хуснуллин Марат Шакирзянович",NULL,"Заместитель мэра Москвы в правительстве Москвы по вопросам градостроительной политики и строительства",,0,NULL,0,33,NULL,kompleks_gradostroitelnoy_politiki_stroitelstva_goroda_moskvi,"2008-12-31 13:50:55","2012-12-06 12:18:45"
231,Мосметрореконструкция,"Строительно-монтажный трест &quot;Мосметрореконструкция&quot;","103045, г. Москва, Колокольников пер., д. 5",,,608-40-20,608-43-07,,"Tартынский Виктор Васильевич",NULL,Управляющий,ГУП,0,NULL,0,19,NULL,mosmetrorekonstruktsiya,"2009-01-30 11:12:34","2012-05-25 10:44:18"
232,Москоллектор,"Государственное унитарное предприятие города Москвы по эксплуатации коммуникационных коллекторов ""Москоллектор""","129010, Москва, 1-й Коптельский пер., д.14-16, стр. 4",,metrology@moscolect.dol.ru,"+7 (499) 975-30-34, +7 (499) 975-32-44","+7 (499) 975-16-00",http://www.moscollector.ru/,"Ротмистров Яков Геннадьевич",NULL,"Генеральный директор",ГУП,0,NULL,1,33,NULL,moskollektor,"2009-02-02 14:11:35","2013-05-29 16:12:24"
233,"Мосстроймеханизация N 4","ОАО &quot;Мосстроймеханизация № 4&quot;","115172, г. Москва, Народная ул., д. 8",,,"(495) 9110159","(495) 9123845",,"Маркин Иван Григорьевич",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,mosstroymehanizatsiya_4,"2009-02-02 17:22:05","2012-12-06 12:13:49"
234,МиКС,"ОАО &quot;Металлоизделия и конструкции строительству&quot; (ОАО &quot;МиКС)","109428, г. Москва, Вязовский 2-й пр-д., д. 10",,zavod-miks@mail.ru,"(499) 1707430, 1707431, 1707432","(499) 1710406",http://www.zavod-miks.ru,"Шапиро Александр Яковлевич",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,miks,"2009-02-02 17:25:53","2012-12-06 12:16:18"
235,Мосэкострой,"Государственное унитарное предприятие города Москвы ""Мосэкострой""","107113, г. Москва, Шумкина ул., д. 16",,,"+7 (495) 660-91-11","+7 (495) 961-33-22",http://www.mosecostroy.ru/,"Губайдуллин Ленар Зиннурович",NULL,,NULL,1,279,1,33,NULL,mosekostroy,"2009-02-03 14:20:37","2013-06-20 10:18:25"
236,"ТДЦ Тверской","ОАО «Торгово-досуговый центр «Тверской»","127055, г.Москва, ул. Новослободская, д. 7, стр. 7",,,"+7 (499) 973-30-33","+7 (499) 973-27-26",,"Висаев  Али Халидович",NULL,,ОАО,1,279,1,33,NULL,tverskoy,"2009-02-03 15:30:27","2013-06-17 16:32:31"
237,Строитель-91,"ОАО &quot;Строитель-91&quot;","117186, г. Москва, Нагорная ул., д. 26/1",,,"(499) 1273888, 1278690","(499) 1273888",,"Игнатова Г.А.",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,stroitel_91,"2009-02-03 15:34:02","2012-12-06 12:09:12"
238,"НИИЖБ им. А. А. Гвоздева","ОАО &quot;НИЦ &quot;Строительство&quot; Научно-исследовательский, проектно-конструкторский и технологический институт бетона и железобетона им. А.А. Гвоздева","109428, Москва, ул. 2-я Институтская, д. 6",,niizhb@niizhb-fgup.ru,"(499) 174-77-24","(499) 174-77-24",http://www.niizhb-fgup.ru/,"Семченков Алексей Степанович",NULL,Директор,,0,NULL,0,33,NULL,niizhb_im_gvozdeva,"2009-04-09 15:20:46","2010-09-27 13:23:20"
239,Техсофт,"ООО &quot;Техсофт&quot;","117393, Москва, а/я 300, ул. Арх. Власова, 49",,support@tech-soft.ru,"(495) 960-2283, 960-2284, (499) 120-1123, 128-9660","(495) 960-2283, 960-2284, (499) 120-1123, 128-9660",www.tech-soft.ru,"Викторов Е.Г.",NULL,"Генеральный директор",ООО,0,NULL,0,33,NULL,tehsoft,"2009-04-09 15:33:37","2012-12-06 12:08:39"
240,"РСЦ &quot;ОПЫТНОЕ&quot;","Московское областное общественное учреждение &#171;Региональный сертификационный центр &#171;ОПЫТНОЕ&#187;",,,opitnoe@RAMBLER.RU,"(495) 585-5818, 743-1741",,,,NULL,,МООУ,0,NULL,0,33,NULL,rsts_quot_opitnoequot,"2009-04-09 15:39:55","2012-12-06 12:09:56"
241,Защита,"Ассоциация предприятий, выполняющих работы в области пожарной безопасности &#171;Защита&#187;",,,,"(495) 174-0729, 8.985-364-1123, 8.903-728-9300",,,,NULL,,,0,NULL,0,33,NULL,zashchita,"2009-04-09 15:45:11","2012-12-06 12:17:53"
242,М-Автоматика,"ООО &quot;М-Автоматика&quot;",,,m-avtomatika@bk.ru,"(495) 645-9201, 645-9203",,,,NULL,,ООО,0,NULL,0,33,NULL,m_avtomatika,"2009-04-09 15:51:46","2012-12-06 12:20:11"
243,Курсор-Холдинг,"ООО &quot;Курсор-Холдинг&quot;",,,ch@cursor-holding.ru,"(495) 250-2441, 250-2048",,,,NULL,,ООО,0,NULL,0,33,NULL,kursor_holding,"2009-04-09 16:05:56","2012-12-06 12:19:20"
244,"ВАН КБ","Автономная некоммерческая организация &quot;Всемирная академия наук комплексной безопасности&quot;",,,info@systemservice.ru,"(495) 7356314, 2038954",,,,NULL,,АНО,0,NULL,0,33,NULL,van_kb,"2009-04-09 16:12:20","2012-12-06 12:24:23"
245,Империя-Групп,"ООО &quot;Империя-Групп&quot;",,,imperia06@rambler.ru,"(495) 444-6203, 505-7207",,,,NULL,,ООО,0,NULL,0,33,NULL,imperiya_grupp,"2009-04-09 16:18:10","2012-12-06 12:18:13"
246,"АНТЦ РААСН","Автономная некоммерческая организация &quot;Академический научно-технический центр Российской Академии архитектуры и строительных наук&quot;",,,m-antc@antcraasn.ru,"(499) 7474176",,,,NULL,,АНО,0,NULL,0,33,NULL,antts_raasn,"2009-04-09 16:31:19","2012-12-06 12:21:32"
247,"НИИТАГ РААСН","ГУ Научно-исследовательский институт теории архитектуры и градостроительства Российской академии архитектуры и строительных наук",,,drakulina@mail.ru,"(495) 965-1357, 965-1637",,,,NULL,,ГУ,0,NULL,0,33,NULL,niitag_raasn,"2009-04-09 16:39:37","2012-12-06 12:12:04"
248,"ЦНИИСК им. В.А. Кучеренко","Центральный научно-исследовательский институт строительных конструкций имени В.А. Кучеренко-филиал ФГУП НИЦ &quot;Строительство&quot;","109428, г. Москва, ул. 2-я Институтская, д. 6",,"end-build@yandex.ru,  tsniisk@online.ru","(495) 174-1333, 174-7431","(499) 171-28-58, 170-10-23",,"Назаров Юрий Павлович",NULL,Директор,ФГУП,0,NULL,0,33,NULL,tsniisk_im_kucherenko,"2009-04-09 16:52:34","2009-12-28 17:07:29"
249,АЛЬКОС,"ООО  АЛЬКОС",,,,"+7 (495) 626-68-21",,http://www.alkosproekt.ru/,,NULL,,ООО,1,NULL,0,33,NULL,alkos,"2009-04-09 17:24:41","2013-04-24 11:46:28"
250,РУДН,"ГОУ высшего профессионального образования &#171;Российский университет дружбы народов&#187;","117198, г. Москва, ул. Миклухо-Маклая, д. 6",,rudn@rudn.ru,"(495) 434-5300, 434-1511",,www.rudn.ru,"Филиппов Владимир Михайлович",NULL,Ректор,ГОУ,0,NULL,1,19,NULL,rudn,"2009-04-09 18:01:36","2012-05-17 16:41:56"
251,"Холдинг ОПБ","ООО &quot;Холдинг ОПБ&quot;",,,expertiza-opb@mtu-net.ru,"(495) 361-9923, 361-9944",,,,NULL,,ООО,0,NULL,0,33,NULL,holding_opb,"2009-04-09 18:07:12","2012-12-06 12:02:33"
252,"НИЦС и ПБ &quot;М&quot;","ООО Научный инновационный центр строительства и пожарной безопасности &quot;М&quot;",,,info_m@stopfire.ru,"(495) 916-75-34, (495) 960-00-70",,,,NULL,,ООО,0,NULL,0,33,NULL,nitss_pb_quot_mquot,"2009-04-10 10:15:44","2012-12-06 12:11:54"
253,ППСИ,"ООО &quot;Пульс-Пожстрой Инжиниринг&quot;",,,ntk@npopuls.ru,"(495) 980-59-78, (495) 775-55-35",,,,NULL,,ООО,0,NULL,0,33,NULL,ppsi,"2009-04-10 10:19:01","2012-12-06 12:10:34"
254,"ИНФОРМ- АЛЬЯНС","ООО ИНФОРМ-АЛЬЯНС",,,infora@binfora.ru,"(495) 431-30-04/05/06/07, (495) 723-23-15",,,,NULL,,ООО,0,NULL,0,33,NULL,inform_alyans,"2009-04-10 10:26:33","2012-12-06 12:18:35"
255,"Иврис Трим","ООО Иврис Трим",,,info@stilnlydom.ru,"504-24-74, 8-915-360-44-22",,,,NULL,,ООО,0,NULL,0,33,NULL,ivris_trim,"2009-04-10 10:30:33","2011-03-01 14:19:08"
256,"Пож Техно Спас","ООО &#171;Пож Техно Спас&#187;",,,pts-antonov@mail.ru,"(495) 362-92-97, 678-24-23, 362-92-66",,,,NULL,,ООО,0,NULL,0,33,NULL,pozh_tehno_spas,"2009-04-10 10:39:25","2012-12-06 12:11:06"
257,"Университет КСБ","Некоммерческое образовательное учреждение &#171;Университет комплексных систем безопасности и инженерного обеспечения&#187;",,,KSB@mail.cnt.ru,"(495) 203-98-70, (495) 203-89-54",,,,NULL,,НОУ,0,NULL,0,33,NULL,universitet_ksb,"2009-04-10 10:43:04","2012-12-06 12:08:21"
258,"Антитеррористическое партнерство профессионалов безопасности","Некоммерческое партнерство &#171;Антитеррористическое партнерство профессионалов безопасности&#187;",,,soloma46@yandex.ru,8-916-610-94-95,,,,NULL,,НП,0,NULL,0,33,NULL,antiterroristicheskoe_partnerstvo_professionalov_bezopasnosti,"2009-04-10 10:47:52","2012-12-06 12:21:19"
259,АТЭКС,"ЗАО «АТЭКС»",,,,"+7 (499) 197-02-31, +7 (499) 197-05-41",,http://www.atex.ru/,,NULL,,ЗАО,1,NULL,0,33,NULL,ateks,"2009-04-10 10:51:13","2013-04-24 11:44:41"
260,"РОО МОЛА","Московское объединение ландшафтных архитекторов","129594, г. Москва, ул. Шереметьевская, дом 34, 2-й этаж",,info@mo-la.ru,"+7 (495) 739-50-39, +7 (495) 697-35-77","+7 (495) 737-68-82",http://www.mo-la.ru,"Мочалов Илья Валерьевич",NULL,"Председатель Правления","Региональная общественная организация",0,NULL,1,19,NULL,roo_mola,"2009-05-04 13:57:58","2013-04-04 11:01:57"
261,"Московские информационные технологии","ОАО ""Московские информационные технологии""","119034, г. Москва, ул. Пречистенка, дом 35 строения 5 и 7",,post@mos-it.ru,"+7 (495) 708-31-18",,http://www.mos-it.ru/,"Шелухин Алексей Юрьевич",NULL,"Генеральный директор",ОАО,0,NULL,1,19,NULL,moskovskie_informatsionnie_tehnologii,"2009-05-18 14:44:23","2013-04-04 11:01:42"
262,Красотель,"ОАО &quot;Красотель&quot;","115172, г. Москва, Котельническая наб., д. 29","125009, г. Москва, ул. Воздвиженка, д.8,1, стр.1",,"(495) 6612552","(495) 6612601",,"Абдула-Заде Заур Эминович",NULL,"Генеральный  директор",ОАО,0,NULL,0,33,NULL,krasotel,"2009-05-18 14:50:07","2012-12-06 12:19:09"
263,Суханово,"ОАО ""Международный центр архитектуры ""Суханово""","142700, Московская обл., Ленинский район, г. Видное, пос. Суханово","Московская обл., Ленинский район, г. Видное, пос. Суханово",,"+7 (495) 699-88-49","+7 (495) 699-78-85",,"Габашвили В.К.",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,suhanovo,"2009-05-18 14:59:22","2013-04-04 11:01:12"
264,"Центральная метрологическая компания","ОАО ""Центральная метрологическая компания""","115035, г. Москва, Космодамианская наб., д. 26/55, стр. 2","115035, г. Москва, Космодамианская наб., д. 26/55, стр. 2",,"+7 (495) 710-75-74, +7 (495) 710-75-77","+7 (495) 710-75-78",,"Косачев Андрей Борисович",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,tsentralnaya_metrologicheskaya_kompaniya,"2009-05-18 15:10:02","2013-04-04 11:00:19"
265,"Москва-Красные холмы","ОАО ""Москва-Красные холмы""","115054, г. Москва, Космодамианская наб., д. 52, стр. 3","115035, г. Москва, Космодамианская наб., д. 52, стр.3",,"+7 (495) 258-68-40","+7 (495) 258-68-45",,"Зекишин Осман",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,moskva_krasnie_holmi,"2009-05-18 15:18:51","2013-04-04 10:59:53"
266,Центр-Сити,"Государственное унитарное предприятие города Москвы ""Центр-Сити""","123100, г. Москва, а/я 89",,,"+7 (495) 653-81-33, +7 (495) 653-81-69","+7 (495) 653-81-57",,"Ланцман Борис Игоревич",NULL,"Генеральный директор",ГУП,0,NULL,1,19,NULL,tsentr_siti,"2009-08-03 11:47:20","2013-04-04 10:59:38"
267,МГГУ,"Московский государственный горный университет","119991, г. Москва, Ленинский проспект, 6",,,"+7 (499) 230-25-05",,http://www.msmu.ru,"Корчак Андрей Владимирович",NULL,Ректор,NULL,0,NULL,1,19,NULL,mggu,"2009-10-05 17:42:03","2013-04-04 10:59:01"
268,"Департамент территориальных органов исполнительной власти города Москвы","Департамент территориальных органов исполнительной власти города Москвы","101000, г. Москва, Маросейка ул., д. 11/4, стр. 3",,info@ktu.mos.ru,"+7 (495) 957-95-59","+7 (495) 957-95-85",http://www.dto.mos.ru,"Ермолов Юрий Алексеевич",NULL,Руководитель,NULL,0,NULL,0,19,NULL,departament_territorialnih_organov_ispolnitelnoy_vlasti_goroda_moskvi,"2009-10-23 10:17:18","2013-04-04 10:58:50"
269,"Департамент внешнеэкономических и международных связей города Москвы","Департамент внешнеэкономических  и международных связей","125032, г. Москва, Тверская ул., д. 13",,dms@dms.mos.ru,"+7 (495) 633-68-66",,http://dvms.mos.ru/,"Черёмин Сергей Евгеньевич",NULL,Руководитель,NULL,0,NULL,1,33,NULL,departament_vneshneekonomicheskih_mezhdunarodnih_svyazey_goroda_moskvi,"2009-10-23 11:03:33","2013-05-29 18:05:45"
270,"Департамент продовольственных ресурсов города Москвы","Департамент продовольственных ресурсов города Москвы","101000, г. Москва, ул. Мясницкая, д.8/2, стр.1",,,"+7 (495) 625-04-68",,,"Бабурин Александр Иванович",NULL,Руководитель,NULL,0,NULL,0,19,NULL,departament_prodovolstvennih_resursov_goroda_moskvi,"2009-10-23 16:06:57","2013-04-04 10:58:20"
